repositório,url,arquivo,file_exists,clone_error,k6-performance/no-heavy-init-context,k6-performance/no-heavy-init-context_loc,k6-performance/require-check,k6-performance/require-check_loc,k6-performance/require-tags,k6-performance/require-tags_loc,k6-performance/require-thresholds,k6-performance/require-thresholds_loc
JamesGrant1811/k6-udemy,https://github.com/JamesGrant1811/k6-udemy,custom-metrics-example.js,yes,,0,,1,18:1,2,19:15; 23:11,0,
JamesGrant1811/k6-udemy,https://github.com/JamesGrant1811/k6-udemy,random-sleep.js,yes,,0,,1,10:1,0,,1,5:14
Anawataon/tools-k6,https://github.com/Anawataon/tools-k6,post.js,yes,,0,,0,,0,,0,
Gun-1/k6-proj-github,https://github.com/Gun-1/k6-proj-github,scenario.js,yes,,0,,3,43:17; 48:17; 53:17,0,,1,6:14
matfritzen/k6-tests,https://github.com/matfritzen/k6-tests,browser.js,yes,,0,,0,,2,23:5; 34:5,1,4:14
matfritzen/k6-tests,https://github.com/matfritzen/k6-tests,random-sleep.js,yes,,0,,1,10:1,0,,1,5:14
ljvillarrealv/grafanak6,https://github.com/ljvillarrealv/grafanak6,k6/Exercices/tags.js,yes,,0,,0,,2,22:17; 23:5,0,
ljvillarrealv/grafanak6,https://github.com/ljvillarrealv/grafanak6,tags.js,yes,,0,,0,,2,22:17; 23:5,0,
berenteb/ticketpond-backend-nx,https://github.com/berenteb/ticketpond-backend-nx,loadtest.ts,yes,,0,,0,,0,,0,
ranggaadithia/sora-load-test,https://github.com/ranggaadithia/sora-load-test,sample.js,yes,,0,,0,,0,,1,4:14
MarcinAman/url-shortener,https://github.com/MarcinAman/url-shortener,k6/perf.js,yes,,0,,0,,3,26:19; 52:21; 54:5,0,
JoakimJohesan/k6-load-testing,https://github.com/JoakimJohesan/k6-load-testing,script.js,yes,,0,,0,,0,,0,
powerandcontrol/Simula-o-Teste-de-Carga-PI2-2025-01-,https://github.com/powerandcontrol/Simula-o-Teste-de-Carga-PI2-2025-01-,script.js,yes,,0,,0,,0,,1,26:12
Ansh-Sarkar/k8s-loki-evals,https://github.com/Ansh-Sarkar/k8s-loki-evals,script.js,yes,,0,,0,,0,,1,4:12
luke-h1/analytics-dashboard,https://github.com/luke-h1/analytics-dashboard,k6.js,yes,,0,,1,9:1,0,,1,4:14
mrezende1/testes-performance,https://github.com/mrezende1/testes-performance,index.js,yes,,0,,0,,0,,0,
shiskr/k6-sample,https://github.com/shiskr/k6-sample,sample.js,yes,,0,,0,,0,,1,11:14
kwe/Great-Api-Challenge-2,https://github.com/kwe/Great-Api-Challenge-2,script.js,yes,,0,,1,4:1,0,,0,
ReStarkov/k6-examples,https://github.com/ReStarkov/k6-examples,tickets.js,yes,,0,,0,,0,,1,25:14
aldrincartago/k6-performance-testing,https://github.com/aldrincartago/k6-performance-testing,upload.js,yes,,1,4:17,1,6:1,2,9:15; 12:17,0,
Gurusharan-Singh2/cfBackend,https://github.com/Gurusharan-Singh2/cfBackend,script.js,yes,,0,,1,19:1,0,,1,4:14
Junrapxng/k6-dashboard,https://github.com/Junrapxng/k6-dashboard,script.js,yes,,0,,1,19:1,0,,1,5:14
dudapierri/Performance-tests-k6,https://github.com/dudapierri/Performance-tests-k6,groups.js,yes,,0,,0,,4,17:19; 24:13; 25:13; 32:9,0,
tariqazmat101/k6-websockets-testing,https://github.com/tariqazmat101/k6-websockets-testing,ws.js,yes,,0,,0,,0,,0,
hazelcast-guides/spring-hazelcast-pipeline-dispatcher,https://github.com/hazelcast-guides/spring-hazelcast-pipeline-dispatcher,k6.js,yes,,0,,1,4:1,0,,0,
CintyaAprilaFandini/PPL_KUIS-1,https://github.com/CintyaAprilaFandini/PPL_KUIS-1,k6/Logout.js,yes,,0,,1,12:1,0,,1,4:14
maxoliverbr/k6GithubActions,https://github.com/maxoliverbr/k6GithubActions,k6.js,yes,,0,,0,,0,,0,
nicolevanderhoeven/k6-scripts,https://github.com/nicolevanderhoeven/k6-scripts,flipcoin.js,yes,,0,,0,,0,,0,
nicolevanderhoeven/k6-scripts,https://github.com/nicolevanderhoeven/k6-scripts,ecommerce/sc01-purchase.js,yes,,0,,0,,0,,0,
AbidKhairyAK/learn-k6,https://github.com/AbidKhairyAK/learn-k6,scenario.js,yes,,0,,1,29:1,0,,1,4:14
AbidKhairyAK/learn-k6,https://github.com/AbidKhairyAK/learn-k6,cloud.js,yes,,0,,1,12:1,0,,1,4:14
rony431/willdom,https://github.com/rony431/willdom,k6.js,yes,,0,,0,,0,,1,4:14
armydep/shorten-url,https://github.com/armydep/shorten-url,perf.js,yes,,0,,0,,2,20:21; 33:24,0,
norizi/K6-Laravel,https://github.com/norizi/K6-Laravel,login.js,yes,,0,,0,,0,,1,5:12
Ajayan-NTP/hotelApp,https://github.com/Ajayan-NTP/hotelApp,loginout.js,yes,,0,,0,,4,21:15; 38:15; 45:20; 57:21,1,7:14
djesusnet/Cursok6,https://github.com/djesusnet/Cursok6,index.js,yes,,0,,0,,0,,0,
asindarov/Future-me-clone,https://github.com/asindarov/Future-me-clone,script.js,yes,,0,,1,27:1,0,,0,
themisterbondy/postech-tech-challenge,https://github.com/themisterbondy/postech-tech-challenge,k6.js,yes,,0,,0,,0,,1,5:12
alfnsnff/eticket-api,https://github.com/alfnsnff/eticket-api,k6/flow.js,yes,,0,,0,,3,33:17; 66:17; 89:17,0,
